"Instante lectura","Chuvia","Direcci?n do vento predominante a 10m","Horas de fr?o ( <=7?C)","Horas de sol","Humidade relativa media a?1.5m","Insolaci?n","Irradiaci?n global diaria","Presi?n","Temperatura media a?1.5m","Velocidade do vento a 10m"
"2024-07-09 00:00:00.0","8.4","270.0","0.0","0.8","97.0","5.4","741.0","1013.0","18.1","6.4"
"2024-07-10 00:00:00.0","0.6","270.0","0.0","4.0","93.0","26.7","1457.0","1016.0","19.0","6.4"
"2024-07-11 00:00:00.0","1.8","270.0","0.0","5.7","97.0","38.0","1759.0","1018.2","18.6","8.1"
"2024-07-12 00:00:00.0","0.0","45.0","0.0","11.7","69.0","78.5","2979.0","1016.6","20.6","13.7"
"2024-07-13 00:00:00.0","0.0","270.0","0.0","12.2","75.0","81.9","2938.0","1010.9","17.8","14.8"
"2024-07-14 00:00:00.0","3.7","180.0","0.0","0.7","78.0","4.9","912.0","1010.8","20.1","8.9"
"2024-07-15 00:00:00.0","1.2","225.0","0.0","9.2","85.0","62.1","2466.0","1014.6","18.8","16.7"
"2024-07-16 00:00:00.0","0.0","270.0","0.0","10.9","82.0","73.6","2891.0","1017.8","18.9","10.0"
"2024-07-17 00:00:00.0","0.0","225.0","0.0","12.8","84.0","86.6","3001.0","1015.6","19.1","11.9"
"2024-07-18 00:00:00.0","0.0","225.0","0.0","11.8","83.0","79.8","2934.0","1017.4","19.4","10.8"
"2024-07-19 00:00:00.0","0.0","225.0","0.0","12.3","92.0","83.6","2928.0","1017.5","19.4","11.7"
"2024-07-20 00:00:00.0","2.8","225.0","0.0","0.9","93.0","5.8","996.0","1014.1","19.7","13.8"
"2024-07-21 00:00:00.0","0.0","45.0","0.0","12.7","64.0","86.7","2986.0","1017.0","20.5","14.7"
"2024-07-22 00:00:00.0","0.0","45.0","0.0","13.2","65.0","90.4","2994.0","1016.5","23.1","10.3"
"2024-07-23 00:00:00.0","0.0","45.0","0.0","13.2","69.0","90.1","2962.0","1016.0","25.4","9.4"
"2024-07-24 00:00:00.0","0.0","225.0","0.0","13.1","74.0","89.9","2922.0","1014.4","24.8","8.6"
"2024-07-25 00:00:00.0","0.0","45.0","0.0","13.1","75.0","90.3","2960.0","1011.4","23.3","11.1"
"2024-07-26 00:00:00.0","0.0","225.0","0.0","12.7","81.0","87.5","2749.0","1011.5","21.5","8.4"
"2024-07-27 00:00:00.0","0.0","225.0","0.0","12.6","83.0","86.6","2848.0","1011.3","21.6","6.3"
"2024-07-28 00:00:00.0","0.0","45.0","0.0","12.8","77.0","88.5","2808.0","1011.4","22.9","9.1"
"2024-07-29 00:00:00.0","0.0","225.0","0.0","7.7","76.0","53.2","1980.0","1011.7","24.6","6.4"
"2024-07-30 00:00:00.0","0.0","270.0","0.0","11.5","69.0","79.6","2703.0","1011.5","24.4","7.1"
"2024-07-31 00:00:00.0","0.0","225.0","0.0","1.7","96.0","11.8","1066.0","1014.9","19.4","9.9"
"2024-08-01 00:00:00.0","0.0","270.0","0.0","5.7","88.0","39.7","1424.0","1015.9","20.2","6.6"
"2024-08-02 00:00:00.0","0.0","270.0","0.0","12.7","78.0","88.7","2833.0","1015.8","21.0","10.0"
"2024-08-03 00:00:00.0","0.0","225.0","0.0","12.8","79.0","90.1","2862.0","1015.1","21.2","7.8"
"2024-08-04 00:00:00.0","0.0","225.0","0.0","12.8","79.0","90.2","2809.0","1014.0","21.9","9.6"
"2024-08-05 00:00:00.0","0.0","225.0","0.0","10.3","86.0","72.3","2616.0","1013.8","21.0","10.1"
"2024-08-06 00:00:00.0","0.0","225.0","0.0","10.5","84.0","74.3","2418.0","1012.6","22.0","9.9"
"2024-08-07 00:00:00.0","0.0","45.0","0.0","12.7","73.0","89.7","2802.0","1011.8","23.5","12.4"
"2024-08-08 00:00:00.0","0.0","225.0","0.0","12.6","73.0","89.5","2742.0","1013.6","23.2","12.1"
"2024-08-09 00:00:00.0","0.0","270.0","0.0","12.6","74.0","89.6","2722.0","1015.3","23.0","7.2"
"2024-08-10 00:00:00.0","0.0","270.0","0.0","11.1","81.0","79.6","2565.0","1012.1","21.8","8.1"
"2024-08-11 00:00:00.0","0.0","270.0","0.0","11.5","92.0","82.6","2505.0","1011.3","19.6","12.2"
"2024-08-12 00:00:00.0","0.0","225.0","0.0","8.2","89.0","58.6","2232.0","1013.7","20.6","10.2"
"2024-08-13 00:00:00.0","2.1","225.0","0.0","2.3","88.0","16.5","1160.0","1013.9","19.5","7.6"
"2024-08-14 00:00:00.0","0.0","0.0","0.0","12.3","69.0","89.1","2765.0","1016.3","21.8","13.8"
"2024-08-15 00:00:00.0","0.0","45.0","0.0","12.3","65.0","89.5","2730.0","1016.7","22.3","10.2"
"2024-08-16 00:00:00.0","0.0","225.0","0.0","12.3","67.0","89.8","2692.0","1016.7","23.0","12.3"
"2024-08-17 00:00:00.0","0.0","225.0","0.0","9.7","86.0","71.0","2235.0","1017.3","21.9","11.2"
"2024-08-18 00:00:00.0","0.4","225.0","0.0","10.6","89.0","77.7","2577.0","1016.1","21.8","10.8"
"2024-08-19 00:00:00.0","0.0","225.0","0.0","11.8","82.0","86.5","2541.0","1014.8","20.9","12.7"
"2024-08-20 00:00:00.0","0.0","0.0","0.0","8.9","78.0","65.8","2177.0","1016.1","22.0","13.6"
"2024-08-21 00:00:00.0","0.0","225.0","0.0","12.0","70.0","88.8","2548.0","1014.3","22.6","11.2"
"2024-08-22 00:00:00.0","0.0","270.0","0.0","10.6","85.0","78.2","2464.0","1015.8","19.3","10.5"
"2024-08-23 00:00:00.0","0.0","225.0","0.0","8.7","94.0","64.6","2082.0","1014.1","19.6","11.2"
"2024-08-24 00:00:00.0","9.0","45.0","0.0","7.8","83.0","58.1","2017.0","1015.0","19.7","14.5"
"2024-08-25 00:00:00.0","0.0","0.0","0.0","12.0","63.0","89.8","2576.0","1018.3","20.7","15.1"
"2024-08-26 00:00:00.0","0.0","45.0","0.0","10.6","71.0","79.4","2396.0","1014.9","20.4","11.4"
"2024-08-27 00:00:00.0","0.0","225.0","0.0","10.1","90.0","75.7","2291.0","1014.4","18.6","10.7"
"2024-08-28 00:00:00.0","0.0","45.0","0.0","10.0","84.0","75.4","2222.0","1013.2","19.7","12.0"
"2024-08-29 00:00:00.0","0.0","45.0","0.0","11.6","73.0","87.9","2387.0","1013.1","22.8","9.7"
